Link Text,URL
,https://www.geeksforgeeks.org/
Trending Now,https://www.geeksforgeeks.org/trending/
Data Structures & Algorithms,https://www.geeksforgeeks.org/learn-data-structures-and-algorithms-dsa-tutorial/
System Design,https://www.geeksforgeeks.org/system-design-tutorial/
Foundational Courses,https://www.geeksforgeeks.org/courses/category/programming-languages?courseFeeType=paid&utm_source=geeksforgeeks&utm_medium=sub_header&utm_campaign=courses
Data Science,https://www.geeksforgeeks.org/courses/data-science-live?itm_source=geeksforgeeks&itm_medium=gfg_submenu&itm_campaign=DS_Submenu
Practice Problem,https://practice.geeksforgeeks.org/explore?page=1&sortBy=submissions
Python,https://www.geeksforgeeks.org/python-programming-language/
Machine Learning,https://www.geeksforgeeks.org/machine-learning/
JavaScript,https://www.geeksforgeeks.org/javascript/
Java,https://www.geeksforgeeks.org/java/
C,https://www.geeksforgeeks.org/c-programming-language/
C++,https://www.geeksforgeeks.org/c-plus-plus/
ReactJS,https://www.geeksforgeeks.org/learn-reactjs/
NodeJS,https://www.geeksforgeeks.org/nodejs/
Web Development,https://www.geeksforgeeks.org/web-development/
Web Design,https://www.geeksforgeeks.org/web-design/
Web Browser,https://www.geeksforgeeks.org/web-browser-a-complete-overview/
CP Live,https://www.geeksforgeeks.org/courses/competitive-programming-live?itm_source=geeksforgeeks&itm_medium=gfg_submenu&itm_campaign=DS_Submenu
Aptitude,https://www.geeksforgeeks.org/aptitude-questions-and-answers/
Puzzles,https://www.geeksforgeeks.org/puzzles/
Projects,https://www.geeksforgeeks.org/computer-science-projects/
DSA,https://www.geeksforgeeks.org/learn-data-structures-and-algorithms-dsa-tutorial/
Design Patterns,https://www.geeksforgeeks.org/software-design-patterns/
Software Development,https://www.geeksforgeeks.org/software-development/
SEO,https://www.geeksforgeeks.org/seo-search-engine-optimization/
Product Management,https://www.geeksforgeeks.org/product-management/
SAP,https://www.geeksforgeeks.org/sap-systems-applications-and-products/
Programming,https://www.geeksforgeeks.org/programming-tutorial/
,https://www.geeksforgeeks.org/
,https://www.facebook.com/geeksforgeeks.org/
,https://www.instagram.com/geeks_for_geeks/
,https://in.linkedin.com/company/geeksforgeeks
,https://twitter.com/geeksforgeeks
,https://www.youtube.com/geeksforgeeksvideos
,https://geeksforgeeksapp.page.link/gfg-app
,https://geeksforgeeksapp.page.link/gfg-app
About Us,https://www.geeksforgeeks.org/about/?ref=footer
Legal,https://www.geeksforgeeks.org/legal/?ref=footer
Careers,https://geeksforgeeks.zohorecruit.in/careers
In Media,https://www.geeksforgeeks.org/press-release/?ref=footer
Contact Us,https://www.geeksforgeeks.org/about/contact-us/?ref=footer
Advertise with us,https://www.geeksforgeeks.org/advertise-with-us/?ref=footer
GFG Corporate Solution,https://www.geeksforgeeks.org/gfg-corporate-solution/?ref=footer
Placement Training Program,https://www.geeksforgeeks.org/campus-training-program/?ref=footer
Apply for Mentor,https://script.geeksforgeeks.org/apply/?ref=footer
Job-A-Thon Hiring Challenge,https://practice.geeksforgeeks.org/events/rec/job-a-thon/?ref=footer
Hack-A-Thon,https://practice.geeksforgeeks.org/hackathon/ecotech-hacks-for-sustainable-tomorrow-hackathon/?ref=footer
GfG Weekly Contest,https://practice.geeksforgeeks.org/events/rec/gfg-weekly-coding-contest?utm_source=geeksforgeeks&utm_medium=footer&utm_campaign=gfgweekly/?ref=footer
Offline Classes (Delhi/NCR),https://www.geeksforgeeks.org/courses/category/all?courseType=offline/?ref=footer
DSA in JAVA/C++,https://www.geeksforgeeks.org/courses/dsa-self-paced?utm_source=geeksforgeeks&utm_medium=footer&utm_campaign=course/?ref=footer
Master System Design,https://www.geeksforgeeks.org/courses/mastering-system-design-low-level-to-high-level-solutions?utm_source=geeksforgeeks&utm_medium=footer&utm_campaign=course/?ref=footer
Master CP,https://www.geeksforgeeks.org/courses/competitive-programming-cp?utm_source=geeksforgeeks&utm_medium=footer&utm_campaign=course
GeeksforGeeks Videos,https://www.geeksforgeeks.org/videos/?ref=footer
Python,https://www.geeksforgeeks.org/python-programming-language/?ref=footer
Java,https://www.geeksforgeeks.org/java/?ref=footer
C++,https://www.geeksforgeeks.org/c-plus-plus/?ref=footer
PHP,https://www.geeksforgeeks.org/php-tutorials/?ref=footer
GoLang,https://www.geeksforgeeks.org/golang/?ref=footer
SQL,https://www.geeksforgeeks.org/sql-tutorial/?ref=footer
R Language,https://www.geeksforgeeks.org/r-tutorial/?ref=footer
Android Tutorial,https://www.geeksforgeeks.org/android-tutorial/?ref=footer
Tutorials Archive,https://www.geeksforgeeks.org/geeksforgeeks-online-tutorials-free/?ref=footer
Data Structures,https://www.geeksforgeeks.org/data-structures/?ref=footer
Algorithms,https://www.geeksforgeeks.org/fundamentals-of-algorithms/?ref=footer
DSA for Beginners,https://www.geeksforgeeks.org/complete-guide-to-dsa-for-beginners/?ref=footer
Basic DSA Problems,https://www.geeksforgeeks.org/basic-coding-problems-in-dsa-for-beginners/?ref=footer
DSA Roadmap,https://www.geeksforgeeks.org/complete-roadmap-to-learn-dsa-from-scratch/?ref=footer
Top 100 DSA Interview Problems,https://www.geeksforgeeks.org/top-100-data-structure-and-algorithms-dsa-interview-questions-topic-wise/?ref=footer
DSA Roadmap by Sandeep Jain,https://www.geeksforgeeks.org/dsa-roadmap-for-beginner-to-advanced-by-sandeep-jain/?ref=footer
All Cheat Sheets,https://www.geeksforgeeks.org/geeksforgeeks-master-sheet-list-of-all-cheat-sheets/?ref=footer
Data Science With Python,https://www.geeksforgeeks.org/data-science-tutorial/?ref=footer
Data Science For Beginner,https://www.geeksforgeeks.org/data-science-for-beginners/?ref=footer
Machine Learning Tutorial,https://www.geeksforgeeks.org/machine-learning/?ref=footer
ML Maths,https://www.geeksforgeeks.org/machine-learning-mathematics/?ref=footer
Data Visualisation Tutorial,https://www.geeksforgeeks.org/python-data-visualization-tutorial/?ref=footer
Pandas Tutorial,https://www.geeksforgeeks.org/pandas-tutorial/?ref=footer
NumPy Tutorial,https://www.geeksforgeeks.org/numpy-tutorial/?ref=footer
NLP Tutorial,https://www.geeksforgeeks.org/natural-language-processing-nlp-tutorial/?ref=footer
Deep Learning Tutorial,https://www.geeksforgeeks.org/deep-learning-tutorial/?ref=footer
HTML,https://www.geeksforgeeks.org/html/?ref=footer
CSS,https://www.geeksforgeeks.org/css/?ref=footer
Bootstrap,https://www.geeksforgeeks.org/bootstrap/?ref=footer
Tailwind CSS,https://www.geeksforgeeks.org/tailwind-css/?ref=footer
SASS,https://www.geeksforgeeks.org/sass/?ref=footer
LESS,https://www.geeksforgeeks.org/less/?ref=footer
Web Design,https://www.geeksforgeeks.org/web-design/?ref=footer
Python Programming Examples,https://www.geeksforgeeks.org/python-programming-examples/?ref=footer
Django Tutorial,https://www.geeksforgeeks.org/django-tutorial/?ref=footer
Python Projects,https://www.geeksforgeeks.org/python-projects-beginner-to-advanced/?ref=footer
Python Tkinter,https://www.geeksforgeeks.org/python-tkinter-tutorial/?ref=footer
Web Scraping,https://www.geeksforgeeks.org/python-web-scraping-tutorial/?ref=footer
OpenCV Python Tutorial,https://www.geeksforgeeks.org/opencv-python-tutorial/?ref=footer
Python Interview Question,https://www.geeksforgeeks.org/python-interview-questions/?ref=footer
GATE CS Notes,https://www.geeksforgeeks.org/gate-cs-notes-gq/?ref=footer
Operating Systems,https://www.geeksforgeeks.org/operating-systems/?ref=footer
Computer Network,https://www.geeksforgeeks.org/computer-network-tutorials/?ref=footer
Database Management System,https://www.geeksforgeeks.org/dbms/?ref=footer
Software Engineering,https://www.geeksforgeeks.org/software-engineering/?ref=footer
Digital Logic Design,https://www.geeksforgeeks.org/digital-electronics-logic-design-tutorials/?ref=footer
Engineering Maths,https://www.geeksforgeeks.org/engineering-mathematics-tutorials/?ref=footer
Git,https://www.geeksforgeeks.org/git-tutorial/?ref=footer
AWS,https://www.geeksforgeeks.org/aws-tutorial/?ref=footer
Docker,https://www.geeksforgeeks.org/docker-tutorial/?ref=footer
Kubernetes,https://www.geeksforgeeks.org/kubernetes-tutorial/?ref=footer
Azure,https://www.geeksforgeeks.org/microsoft-azure/?ref=footer
GCP,https://www.geeksforgeeks.org/google-cloud-platform-tutorial/?ref=footer
DevOps Roadmap,https://www.google.com/url?q=https://www.geeksforgeeks.org/devops-roadmap/&sa=D&source=editors&ust=1701416052078352&usg=AOvVaw245Kv2yCnm71WLx-_R42Jz/?ref=footer
Top DS or Algo for CP,https://www.geeksforgeeks.org/top-algorithms-and-data-structures-for-competitive-programming/?ref=footer
Top 50 Tree,https://www.geeksforgeeks.org/top-50-tree-coding-problems-for-interviews?ref=footer
Top 50 Graph,https://www.geeksforgeeks.org/top-50-graph-coding-problems-for-interviews/?ref=footer
Top 50 Array,https://www.geeksforgeeks.org/top-50-array-coding-problems-for-interviews/?ref=footer
Top 50 String,https://www.geeksforgeeks.org/top-50-string-coding-problems-for-interviews/?ref=footer
Top 50 DP,https://www.geeksforgeeks.org/top-50-dynamic-programming-coding-problems-for-interviews/?ref=footer
Top 15 Websites for CP,https://www.geeksforgeeks.org/top-15-websites-for-coding-challenges-and-competitions/?ref=footer
What is System Design,https://www.geeksforgeeks.org/what-is-system-design-learn-system-design/?ref=footer
Monolithic and Distributed SD,https://www.geeksforgeeks.org/analysis-of-monolithic-and-distributed-systems-learn-system-design/?ref=footer
High Level Design or HLD,https://www.geeksforgeeks.org/what-is-high-level-design-learn-system-design/?ref=footer
Low Level Design or LLD,https://www.geeksforgeeks.org/what-is-low-level-design-or-lld-learn-system-design/?ref=footer
Crack System Design Round,https://www.geeksforgeeks.org/system-design-interview-guide/?ref=footer
System Design Interview Questions,https://www.geeksforgeeks.org/most-commonly-asked-system-design-interview-problems-questions/?ref=footer
Grokking Modern System Design,https://www.geeksforgeeks.org/system-design-interview-guide/?ref=footer
TypeScript,https://www.geeksforgeeks.org/typescript/?ref=footer
ReactJS,https://www.geeksforgeeks.org/learn-reactjs/?ref=footer
NextJS,https://www.geeksforgeeks.org/nextjs/?ref=footer
AngularJS,https://www.geeksforgeeks.org/angularjs/?ref=footer
NodeJS,https://www.geeksforgeeks.org/nodejs/?ref=footer
Express.js,https://www.geeksforgeeks.org/express-js/?ref=footer
Lodash,https://www.geeksforgeeks.org/lodash/?ref=footer
Web Browser,https://www.geeksforgeeks.org/web-browser-a-complete-overview/?ref=footer
Class 12,https://www.geeksforgeeks.org/ncert-solutions-for-class-12/?ref=footer
Class 11,https://www.geeksforgeeks.org/ncert-solutions-for-class-11/?ref=footer
Class 10,https://www.geeksforgeeks.org/ncert-solutions-for-class-10-maths/?ref=footer
Class 9,https://www.geeksforgeeks.org/ncert-solutions-for-class-9-maths/?ref=footer
Class 8,https://www.geeksforgeeks.org/ncert-solutions-for-class-8/?ref=footer
Complete Study Material,https://www.geeksforgeeks.org/geeksforgeeks-school/?ref=footer
Mathematics,https://www.geeksforgeeks.org/maths/?ref=footer
Physics,https://www.geeksforgeeks.org/physics/?ref=footer
Chemistry,https://www.geeksforgeeks.org/chemistry/?ref=footer
Biology,https://www.geeksforgeeks.org/biology/?ref=footer
Social Science,https://www.geeksforgeeks.org/social-science/?ref=footer
English Grammar,https://www.geeksforgeeks.org/english-grammar/?ref=footer
Accountancy,https://www.geeksforgeeks.org/accountancy/?ref=footer
Business Studies,https://www.geeksforgeeks.org/business-studies/?ref=footer
Indian Economics,https://www.geeksforgeeks.org/economics/?ref=footer
Macroeconomics,https://www.geeksforgeeks.org/macroeconomics/?ref=footer
Microeconimics,https://www.geeksforgeeks.org/microeconomics/?ref=footer
Statistics for Economics,https://www.geeksforgeeks.org/statistics-for-economics-complete-guide-a-to-z-concepts/?ref=footer
Management,https://www.geeksforgeeks.org/management/?ref=footer
HR Managament,https://www.geeksforgeeks.org/human-resource-management-hrm/?ref=footer
Income Tax,https://www.geeksforgeeks.org/income-tax/?ref=footer
Finance,https://www.geeksforgeeks.org/finance/?ref=footer
Economics,https://www.geeksforgeeks.org/economics/?ref=footer
Polity Notes,https://www.geeksforgeeks.org/important-topics-in-polity-for-upsc/?ref=footer
Geography Notes,https://www.geeksforgeeks.org/important-topics-of-geography-for-upsc/?ref=footer
History Notes,https://www.geeksforgeeks.org/history-notes-for-upsc-exam/?ref=footer
Science and Technology Notes,https://www.geeksforgeeks.org/important-topics-of-science-and-technology-for-upsc/?ref=footer
Economy Notes,https://www.geeksforgeeks.org/indian-economy-notes-upsc/?ref=footer
Ethics Notes,https://www.geeksforgeeks.org/important-topics-in-ethics-for-upsc/?ref=footer
Previous Year Papers,https://www.geeksforgeeks.org/upsc-previous-year-question-paper-solutions/?ref=footer
SSC CGL Syllabus,https://www.geeksforgeeks.org/ssc-cgl-syllabus-2022/?ref=footer
SBI PO Syllabus,https://www.geeksforgeeks.org/sbi-po-syllabus-2023/?ref=footer
SBI Clerk Syllabus,https://www.geeksforgeeks.org/sbi-clerk-syllabus-2022/?ref=footer
IBPS PO Syllabus,https://www.geeksforgeeks.org/syllabus-of-ibps-po-2022/?ref=footer
IBPS Clerk Syllabus,https://www.geeksforgeeks.org/detailed-syllabus-of-ibps-clerk/?ref=footer
SSC CGL Practice Papers,https://www.geeksforgeeks.org/ssc-cgl-practice-papers/?ref=footer
Indian Colleges Admission & Campus Experiences,https://www.geeksforgeeks.org/indian-colleges-admission-and-campus-experiences/?ref=footer
Top Engineering Colleges,https://www.geeksforgeeks.org/top-engineering-colleges-in-india/?ref=footer
Top BCA Colleges,https://www.geeksforgeeks.org/top-bca-colleges-in-india/?ref=footer
Top MBA Colleges,https://www.geeksforgeeks.org/top-mba-colleges-in-india/?ref=footer
Top Architecture College,https://www.geeksforgeeks.org/architecture-colleges-in-india/?ref=footer
Choose College For Graduation,https://www.geeksforgeeks.org/things-to-keep-in-mind-while-choosing-the-college-for-graduation/?ref=footer
IT Companies,https://www.geeksforgeeks.org/top-it-companies-world/?ref=footer
Software Development Companies,https://www.geeksforgeeks.org/most-popular-software-development-companies-in-india-2023-2024/?ref=footer
Artificial Intelligence(AI) Companies,https://www.geeksforgeeks.org/top-ai-companies/?ref=footer
CyberSecurity Companies,https://www.geeksforgeeks.org/top-cybersecurity-companies/?ref=footer
Service Based Companies,https://www.geeksforgeeks.org/service-based-companies-in-india/?ref=footer
Product Based Companies,https://www.geeksforgeeks.org/top-20-product-based-companies-in-world/?ref=footer
PSUs for CS Engineers,https://www.geeksforgeeks.org/top-psus-for-computer-science-engineers-in-india/?ref=footer
Company Wise Preparation,https://www.geeksforgeeks.org/company-preparation/?ref=footer
Preparation for SDE,https://www.geeksforgeeks.org/interview-preparation-for-software-developer/?ref=footer
Experienced Interviews,https://www.geeksforgeeks.org/experienced-interview-experiences-company-wise/?ref=footer
Internship Interviews,https://www.geeksforgeeks.org/internship-interview-experiences-company-wise/?ref=footer
Competitive Programming,https://www.geeksforgeeks.org/competitive-programming-a-complete-guide/?ref=footer
Aptitude Preparation,https://www.geeksforgeeks.org/aptitude-questions-and-answers/?ref=footer
Puzzles,https://www.geeksforgeeks.org/puzzles/?ref=footer
JEE Mains,https://www.geeksforgeeks.org/jee-main-2024/?ref=footer
JEE Advanced,https://www.geeksforgeeks.org/jee-advanced/?ref=footer
GATE CS,https://www.geeksforgeeks.org/gate-cs-notes-gq/?ref=footer
NEET,https://www.geeksforgeeks.org/neet-2024/?ref=footer
UGC NET,https://www.geeksforgeeks.org/ugc-net-exam/?ref=footer
Software Development,https://www.geeksforgeeks.org/software-development/?ref=footer
Software Testing,https://www.geeksforgeeks.org/software-testing-tutorial/?ref=footer
Product Management,https://www.geeksforgeeks.org/product-management/?ref=footer
SAP,https://www.geeksforgeeks.org/sap-systems-applications-and-products/?ref=footer
SEO,https://www.geeksforgeeks.org/seo-search-engine-optimization/?ref=footer
Linux,https://www.geeksforgeeks.org/linux-tutorial/?ref=footer
Excel,https://www.geeksforgeeks.org/excel-tutorial/?ref=footer
Write an Article,https://write.geeksforgeeks.org/?ref=footer
Improve an Article,https://www.geeksforgeeks.org/how-to-improve-an-article/?ref=footer
Pick Topics to Write,https://write.geeksforgeeks.org/pick-article/?ref=footer
Share your Experiences,https://www.geeksforgeeks.org/share-your-experiences-on-geeksforgeeks/?ref=footer
Internships,https://write.geeksforgeeks.org/internship/?ref=footer
"@GeeksforGeeks, Sanchhaya Education Private Limited",https://www.geeksforgeeks.org/
All rights reserved,https://www.geeksforgeeks.org/copyright-information/
